,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
29,CCND1,,TAPBP,,,,ACAT2,,DLD,,,,,,,,,,NR4A1,,,,POT1,,,,,,,,
30,YY1,,SLC11A1,,,,CASP6,,NBN,,,,,,,,,,HMOX1,,,,TINF2,,,,,,,,
31,RHOA,,NEUROG3,,,,CCNG2,,PFKFB2,,,,,,,,,,FOXA2,,,,NFIL3,,,,,,,,
32,HSD17B8,,KCNH1,,,,CDKN2D,,TXN,,,,,,,,,,PPARA,,,,RPS6KA5,,,,,,,,
33,KISS1,,CDKN2D,,,,CFLAR,,TXN2,,,,,,,,,,UACA,,,,LAMB1,,,,,,,,
34,STS,,MCPH1,,,,CLDN5,,EIF4E,,,,,,,,,,TANK,,,,MMP9,,,,,,,,
35,CDX2,,DNMT3A,,,,CNOT8,,BACE1,,,,,,,,,,CTCF,,,,ATP1B1,,,,,,,,
36,FOS,,NELL2,,,,COL13A1,,MAPK1,,,,,,,,,,ACHE,,,,ATF2,,,,,,,,
37,ABCC3,,HMGN1,,,,DAPK1,,PEPD,,,,,,,,,,EHMT1,,,,BAD,,,,,,,,
38,NR1I3,,TRIB2,,,,DUSP4,,EBP,,,,,,,,,,SIN3A,,,,CCND3,,,,,,,,
39,MMP9,,DROSHA,,,,EIF4G1,,TUBB3,,,,,,,,,,TNFSF4,,,,PNRC1,,,,,,,,
40,SLC35A2,,UNG,,,,ELOVL6,,SDHB,,,,,,,,,,EIF4E,,,,PPIG,,,,,,,,
41,UBE2L3,,TGFB1,,,,TCAF1,,KITLG,,,,,,,,,,RB1,,,,SPP1,,,,,,,,
42,IRF3,,BMP4,,,,GADD45A,,PTEN,,,,,,,,,,NFKB2,,,,LMO3,,,,,,,,
43,,,MFAP1,,,,RACK1,,KDM3A,,,,,,,,,,BAG1,,,,CEBPD,,,,,,,,
44,,,NKX6-1,,,,HMGCR,,EEF1A2,,,,,,,,,,CRMP1,,,,NR4A1,,,,,,,,
45,,,OAZ2,,,,HUS1,,MEN1,,,,,,,,,,FCGRT,,,,RXRA,,,,,,,,
46,,,SMARCA5,,,,KITLG,,CFTR,,,,,,,,,,ABCA1,,,,NR4A3,,,,,,,,
47,,,DGKI,,,,KRT19,,HSPA1B,,,,,,,,,,AGER,,,,MT1F,,,,,,,,
48,,,PPT2,,,,ME1,,HIPK2,,,,,,,,,,AKT2,,,,TGFB1,,,,,,,,
49,,,LACTB,,,,MRTFA,,RAC1,,,,,,,,,,BCL2L11,,,,TNFRSF11A,,,,,,,,
50,,,CTNNBIP1,,,,PIGQ,,PARK7,,,,,,,,,,BIRC2,,,,NR1D1,,,,,,,,
