,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
38,"{'NR1I3', 0.04037894110295092}",,"{'TRIB2', 0.21064255385063257}",,,,"{0.29363028684605463, 'DUSP4'}",,"{0.028436232822425644, 'EBP'}",,,,,,,,,,"{0.2218912661630079, 'SIN3A'}",,,,"{0.3208122806043875, 'CCND3'}",,,,,,,,
39,"{0.11530514991494487, 'MMP9'}",,"{0.12447525928684712, 'DROSHA'}",,,,"{0.10656759607773945, 'EIF4G1'}",,"{0.6054373289103823, 'TUBB3'}",,,,,,,,,,"{'TNFSF4', 0.2670633743308794}",,,,"{0.1406947925003433, 'PNRC1'}",,,,,,,,
40,"{'SLC35A2', 0.22001840079417517}",,"{0.18443291058441924, 'UNG'}",,,,"{0.8420458548196907, 'ELOVL6'}",,"{0.05750844664883866, 'SDHB'}",,,,,,,,,,"{0.2309461175233577, 'EIF4E'}",,,,"{0.03368376765746719, 'PPIG'}",,,,,,,,
41,"{0.05419016553212265, 'UBE2L3'}",,"{0.6114520801214537, 'TGFB1'}",,,,"{'TCAF1', 0.23265639140359512}",,"{0.21859745814419274, 'KITLG'}",,,,,,,,,,"{0.38789934275180016, 'RB1'}",,,,"{'SPP1', 4.0220135806717465}",,,,,,,,
42,"{0.020407731379273812, 'IRF3'}",,"{0.7627537860483102, 'BMP4'}",,,,"{'GADD45A', 0.7476194823664833}",,"{0.10271820013517428, 'PTEN'}",,,,,,,,,,"{0.604565466717263, 'NFKB2'}",,,,"{0.9176269930117635, 'LMO3'}",,,,,,,,
43,,,"{0.1120522102559752, 'MFAP1'}",,,,"{0.03521096487374303, 'RACK1'}",,"{'KDM3A', 0.160164681102629}",,,,,,,,,,"{0.08377504986330717, 'BAG1'}",,,,"{'CEBPD', 7.796160367685233e-05}",,,,,,,,
44,,,"{'NKX6-1', 0.9710902621618184}",,,,"{0.37172091692718146, 'HMGCR'}",,"{0.40991404653422747, 'EEF1A2'}",,,,,,,,,,"{0.07604127238649107, 'CRMP1'}",,,,"{1.5162265953102156, 'NR4A1'}",,,,,,,,
45,,,"{'OAZ2', 0.2583509293464636}",,,,"{0.733678199432022, 'HUS1'}",,"{'MEN1', 0.00198812488747865}",,,,,,,,,,"{1.5749798407755409, 'FCGRT'}",,,,"{'RXRA', 0.18482701231814158}",,,,,,,,
46,,,"{0.1126086830722585, 'SMARCA5'}",,,,"{0.21859745814419274, 'KITLG'}",,"{'CFTR', 2.977105659672667}",,,,,,,,,,"{1.4242171458434005, 'ABCA1'}",,,,"{'NR4A3', 0.400215244076506}",,,,,,,,
47,,,"{2.416269447957773, 'DGKI'}",,,,"{0.2979201316751119, 'KRT19'}",,"{0.4393479458536487, 'HSPA1B'}",,,,,,,,,,"{0.1258095712147193, 'AGER'}",,,,"{0.36605459117691735, 'MT1F'}",,,,,,,,
48,,,"{0.20598305662244332, 'PPT2'}",,,,"{0.6485244712966511, 'ME1'}",,"{0.22460866658230397, 'HIPK2'}",,,,,,,,,,"{0.05344230578941922, 'AKT2'}",,,,"{0.6114520801214537, 'TGFB1'}",,,,,,,,
49,,,"{0.5692908203036866, 'LACTB'}",,,,"{0.10388042751568045, 'MRTFA'}",,"{0.03806482343604981, 'RAC1'}",,,,,,,,,,"{0.7410466375388322, 'BCL2L11'}",,,,"{0.06625201125907501, 'TNFRSF11A'}",,,,,,,,
